year,run_length,rating,num_raters,num_reviews,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,release_year,country,Australia,Brazil,Canada,China,France,Germany,Hungary,India,Ireland,Italy,Japan,Kazakhstan,Malaysia,Mexico,Netherlands,Poland,Portugal,South Korea,Soviet Union,Sweden,Turkey,UK,USA
2008,96,6.8,184675,214,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,100,7.8,184363,1271,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010,93,6.3,179074,210,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,87,6.5,178058,333,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1988,104,7.7,177334,286,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1937,83,7.6,175923,250,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1938,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2000,78,7.3,173677,326,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,106,8.4,173204,624,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2017,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,107,7.0,172996,419,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2000,84,7.0,172974,388,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,89,6.1,170630,544,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1999,86,8.0,167070,577,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2004,100,6.6,167034,521,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2006,108,6.4,165838,585,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1995,81,6.7,164719,262,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1995,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2004,90,6.0,162954,317,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2002,85,7.2,162337,394,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1967,78,7.6,161262,170,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1967,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2009,92,8.1,159951,232,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2009,Australia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,115,6.2,159254,535,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,93,6.8,157811,187,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1988,124,8.0,157623,526,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1988,Japan,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1996,88,6.4,157470,184,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2006,83,6.7,155579,292,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2011,106,6.1,153400,336,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,97,7.3,152650,215,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1961,79,7.2,148001,138,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1961,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1998,83,6.5,143835,307,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1986,125,8.0,143574,231,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1986,Japan,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2009,94,6.4,143391,211,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1984,117,8.1,142815,236,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1987,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1950,74,7.3,141190,154,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1950,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2011,90,6.6,140720,154,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1995,127,8.6,1390231,1460,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1995,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2006,130,8.5,1144521,1394,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2006,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2000,113,8.4,1090298,2254,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2001,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010,138,8.1,1086350,1269,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2010,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1995,106,8.5,961814,1355,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1995,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1999,107,8.1,888925,2223,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1999,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,149,8.1,825450,1449,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2014,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2001,113,8.0,724912,2276,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2002,France,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,146,7.5,600100,720,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,115,8.0,595435,882,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2007,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1979,147,8.4,585989,1183,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1979,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,115,7.3,581644,760,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2013,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,153,8.1,575040,901,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2013,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2009,128,7.6,571401,693,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2009,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,116,7.9,569760,1861,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2016,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1995,129,8.0,565403,641,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1996,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,124,7.0,557990,2543,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2012,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1997,138,8.2,518387,710,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1997,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2003,101,8.4,496687,1000,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2003,South Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2002,119,7.9,496180,912,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2002,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2002,145,7.6,495547,1381,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2002,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,168,7.8,493754,1430,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2015,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2009,162,7.6,487717,1398,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2009,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2011,93,7.5,474236,635,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2011,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,108,7.7,458187,884,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2015,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,121,7.8,450223,811,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2007,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,157,7.7,436901,768,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2007,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,164,8.0,434995,2337,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2017,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1954,112,8.4,428644,838,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1954,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,112,7.5,427069,1054,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2013,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2004,108,7.7,424855,847,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2004,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,139,6.7,416400,797,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2011,129,7.5,411748,446,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2011,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2003,138,7.9,409000,1036,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2003,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2011,158,7.8,408988,723,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2011,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,113,6.8,406551,612,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2014,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2006,149,6.6,390693,2019,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2006,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1941,119,8.3,386235,1440,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1941,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2000,106,7.3,377965,1496,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2000,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1958,128,8.3,348553,848,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1958,UK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2006,137,8.4,346768,510,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2007,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,172,7.4,338490,984,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2012,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1997,129,7.8,334123,631,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1997,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2011,112,7.0,332878,924,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2011,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2002,106,6.7,330229,2413,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2002,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2006,129,7.6,329267,718,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2006,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2001,104,7.6,328626,1147,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2001,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2009,97,7.9,327607,620,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2009,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1999,105,7.3,320863,1023,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1999,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1997,144,7.5,319323,473,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1997,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2001,147,8.0,309859,1922,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2001,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2004,131,6.9,297865,741,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2004,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2006,110,7.7,295883,548,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2006,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1999,159,7.4,291877,1626,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1999,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010,100,6.4,289816,580,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2010,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1959,136,8.3,289249,602,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1959,Japan,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1974,130,8.2,284178,536,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1974,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,103,7.2,280920,752,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2016,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1996,111,7.2,276756,969,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1996,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010,103,6.8,269842,885,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2011,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2002,118,7.2,266499,686,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2002,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2009,138,6.7,266342,494,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2009,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1997,150,7.4,247426,698,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1997,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,106,6.9,245364,449,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2014,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,114,7.6,244160,563,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2007,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2011,113,6.8,243861,385,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2011,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2001,136,6.9,243022,1293,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2001,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,123,7.8,241597,650,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2008,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2004,108,6.5,237425,2060,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2004,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2005,93,6.6,227844,885,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2005,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1999,81,6.5,226136,3515,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1999,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2006,97,7.2,224147,985,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2006,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2003,90,7.3,221013,772,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2003,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2009,121,6.2,216703,885,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2009,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,86,6.3,216061,1262,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2009,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,105,6.8,215909,528,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2007,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,134,7.3,215865,548,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2016,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2018,127,7.3,214954,3086,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2018,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,124,6.5,214171,319,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2007,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2009,152,7.8,205262,316,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2010,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1997,90,7.2,204760,819,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1998,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019,116,6.9,204739,3049,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2019,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,100,6.8,201012,997,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2015,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,114,6.5,200486,877,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2017,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,107,7.7,193037,609,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2017,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2008,91,5.0,192408,1379,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2008,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,98,6.4,190439,414,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2007,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2009,129,8.2,186147,291,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2010,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2009,123,6.9,186073,489,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2009,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1998,100,7.6,184177,679,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1998,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2011,122,7.1,182571,604,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2012,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010,148,8.8,1981688,3820,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2010,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1999,136,8.7,1619772,4281,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1999,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,169,8.6,1430810,3977,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2014,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,143,8.0,1236053,1929,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1985,116,8.5,1015026,1176,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1985,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2005,132,8.2,1002950,2205,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2006,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1991,137,8.5,968511,1269,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1991,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2008,126,7.9,915644,1319,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2008,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1998,103,8.1,901077,1151,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1998,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2004,108,8.3,882500,1800,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2004,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
